Timestamp,AsOf,Location,Permits,Spots_Available,Vacancy_Enabled
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,20 Ancora Imparo Way (S2) P1-P4,Red,464,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,20 Ancora Imparo Way (S2) P1,Green,24,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,52 Scenic Blvd (SE1),Red / Orange,213,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,54 Scenic Blvd (SE2),Blue,8,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,64 Scenic Blvd (SE3),Visitor,320,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,60 Scenic Blvd (SE4),Blue,610,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,62 Scenic Blvd (SE5),Blue,165,True
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,133 Wellington Rd (OC1),Visitor,0,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"N1 - L2, 2 Innovation Walk",Blue,429,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"N1 - L3, 2 Innovation Walk",Blue,616,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"N1 - L4, 2 Innovation Walk",Blue,634,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"N1 - L5, 2 Innovation Walk",Blue,634,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"Sth East 4 L1 (SE4), 60 Scenic Blvd",Blue,168,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,"Sth East 4 L2 (SE4), 60 Scenic Blvd",Blue,254,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Northern,Blue,2339,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Northern,Red,361,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Northern,Yellow,15,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Northern,Green,4,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Northern,Blue,78,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,Visitor,320,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,Blue,783,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,Red,464,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,Yellow,0,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,Green,0,False
2026-08-20 22:25:38,21/08/2026 08:24:19 AM,Southern,None,0,False
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,10 Research Way (N1) Gnd,Orange,18,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,10 Research Way (N1) Gnd,Red,83,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,10 Research Way (N1) Gnd,Yellow,17,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,10 Research Way (N1) Gnd,Green,4,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,10 Research Way (N1) Gnd,Visitor,192,True
2026-08-20 22:51:56,21/08/2026 08:50:34 AM,2 Innovation Walk (N1) L1-6,Blue,2142,True
